Circuit delay: 4986.22 ps

Gate slacks:
INPUT-1: 952.839 ps
INPUT-18: 864.32 ps
INPUT-35: 838.204 ps
INPUT-52: 812.087 ps
INPUT-69: 785.97 ps
INPUT-86: 759.854 ps
INPUT-103: 733.737 ps
INPUT-120: 707.62 ps
INPUT-137: 681.504 ps
INPUT-154: 655.387 ps
INPUT-171: 629.27 ps
INPUT-188: 603.154 ps
INPUT-205: 577.037 ps
INPUT-222: 550.92 ps
INPUT-239: 524.804 ps
INPUT-256: 498.622 ps
INPUT-273: 498.622 ps
INPUT-290: 587.141 ps
INPUT-307: 795.399 ps
INPUT-324: 1029.72 ps
INPUT-341: 1264.04 ps
INPUT-358: 1498.35 ps
INPUT-375: 1732.67 ps
INPUT-392: 1966.99 ps
INPUT-409: 2201.31 ps
INPUT-426: 2435.62 ps
INPUT-443: 2669.94 ps
INPUT-460: 2904.26 ps
INPUT-477: 3138.58 ps
INPUT-494: 3372.9 ps
INPUT-511: 3607.21 ps
INPUT-528: 3841.53 ps
OUTPUT-545: 5443.71 ps
OUTPUT-1581: 5234.98 ps
OUTPUT-1901: 5000.66 ps
OUTPUT-2223: 4766.34 ps
OUTPUT-2548: 4532.02 ps
OUTPUT-2877: 4297.71 ps
OUTPUT-3211: 4063.39 ps
OUTPUT-3552: 3829.07 ps
OUTPUT-3895: 3594.75 ps
OUTPUT-4241: 3360.44 ps
OUTPUT-4591: 3126.12 ps
OUTPUT-4946: 2891.8 ps
OUTPUT-5308: 2657.48 ps
OUTPUT-5672: 2423.16 ps
OUTPUT-5971: 2188.85 ps
OUTPUT-6123: 1954.53 ps
OUTPUT-6150: 1773.7 ps
OUTPUT-6160: 1683.02 ps
OUTPUT-6170: 1591.91 ps
OUTPUT-6180: 1500.81 ps
OUTPUT-6190: 1409.7 ps
OUTPUT-6200: 1318.59 ps
OUTPUT-6210: 1227.48 ps
OUTPUT-6220: 1136.38 ps
OUTPUT-6230: 1045.27 ps
OUTPUT-6240: 954.161 ps
OUTPUT-6250: 863.053 ps
OUTPUT-6260: 771.945 ps
OUTPUT-6270: 680.838 ps
OUTPUT-6280: 589.73 ps
OUTPUT-6287: 525.732 ps
OUTPUT-6288: 498.622 ps
AND-545: 5443.71 ps
AND-546: 952.839 ps
AND-549: 1161.03 ps
AND-552: 1369.23 ps
AND-555: 1577.44 ps
AND-558: 1785.64 ps
AND-561: 1993.84 ps
AND-564: 2202.04 ps
AND-567: 2410.24 ps
AND-570: 2618.44 ps
AND-573: 2826.64 ps
AND-576: 3034.84 ps
AND-579: 3243.04 ps
AND-582: 3451.25 ps
AND-585: 3659.45 ps
AND-588: 3867.65 ps
AND-591: 864.32 ps
AND-594: 926.723 ps
AND-597: 1134.92 ps
AND-600: 1343.12 ps
AND-603: 1551.32 ps
AND-606: 1759.52 ps
AND-609: 1967.72 ps
AND-612: 2175.92 ps
AND-615: 2384.12 ps
AND-618: 2592.32 ps
AND-621: 2800.53 ps
AND-624: 3008.73 ps
AND-627: 3216.93 ps
AND-630: 3425.13 ps
AND-633: 3633.33 ps
AND-636: 3841.53 ps
AND-639: 838.204 ps
AND-642: 900.606 ps
AND-645: 1108.8 ps
AND-648: 1317 ps
AND-651: 1525.2 ps
AND-654: 1733.4 ps
AND-657: 1941.6 ps
AND-660: 2149.81 ps
AND-663: 2358.01 ps
AND-666: 2566.21 ps
AND-669: 2774.41 ps
AND-672: 2982.61 ps
AND-675: 3190.81 ps
AND-678: 3399.01 ps
AND-681: 3607.21 ps
AND-684: 3904.78 ps
AND-687: 812.087 ps
AND-690: 874.489 ps
AND-693: 1082.68 ps
AND-696: 1290.88 ps
AND-699: 1499.09 ps
AND-702: 1707.29 ps
AND-705: 1915.49 ps
AND-708: 2123.69 ps
AND-711: 2331.89 ps
AND-714: 2540.09 ps
AND-717: 2748.29 ps
AND-720: 2956.49 ps
AND-723: 3164.69 ps
AND-726: 3372.9 ps
AND-729: 3670.46 ps
AND-732: 3995.82 ps
AND-735: 785.97 ps
AND-738: 848.373 ps
AND-741: 1056.57 ps
AND-744: 1264.77 ps
AND-747: 1472.97 ps
AND-750: 1681.17 ps
AND-753: 1889.37 ps
AND-756: 2097.57 ps
AND-759: 2305.77 ps
AND-762: 2513.97 ps
AND-765: 2722.18 ps
AND-768: 2930.38 ps
AND-771: 3138.58 ps
AND-774: 3436.15 ps
AND-777: 3761.5 ps
AND-780: 4086.92 ps
AND-783: 759.854 ps
AND-786: 822.256 ps
AND-789: 1030.45 ps
AND-792: 1238.65 ps
AND-795: 1446.85 ps
AND-798: 1655.05 ps
AND-801: 1863.25 ps
AND-804: 2071.46 ps
AND-807: 2279.66 ps
AND-810: 2487.86 ps
AND-813: 2696.06 ps
AND-816: 2904.26 ps
AND-819: 3201.83 ps
AND-822: 3527.18 ps
AND-825: 3852.61 ps
AND-828: 4178.03 ps
AND-831: 733.737 ps
AND-834: 796.139 ps
AND-837: 1004.33 ps
