Circuit delay: 2230 ps

Gate slacks:
INPUT-DATAI_31_: 2250.51 ps
INPUT-DATAI_30_: 2250.51 ps
INPUT-DATAI_29_: 2250.51 ps
INPUT-DATAI_28_: 2250.51 ps
INPUT-DATAI_27_: 2250.51 ps
INPUT-DATAI_26_: 2250.51 ps
INPUT-DATAI_25_: 2250.51 ps
INPUT-DATAI_24_: 2250.51 ps
INPUT-DATAI_23_: 2250.51 ps
INPUT-DATAI_22_: 2250.51 ps
INPUT-DATAI_21_: 2250.51 ps
INPUT-DATAI_20_: 2250.51 ps
INPUT-DATAI_19_: 2250.51 ps
INPUT-DATAI_18_: 2250.51 ps
INPUT-DATAI_17_: 2250.51 ps
INPUT-DATAI_16_: 2250.51 ps
INPUT-DATAI_15_: 2382.02 ps
INPUT-DATAI_14_: 2328.16 ps
INPUT-DATAI_13_: 2326.55 ps
INPUT-DATAI_12_: 2365.96 ps
INPUT-DATAI_11_: 2365.96 ps
INPUT-DATAI_10_: 2365.96 ps
INPUT-DATAI_9_: 2365.96 ps
INPUT-DATAI_8_: 2365.96 ps
INPUT-DATAI_7_: 2248.46 ps
INPUT-DATAI_6_: 2248.46 ps
INPUT-DATAI_5_: 2248.46 ps
INPUT-DATAI_4_: 2248.46 ps
INPUT-DATAI_3_: 2248.46 ps
INPUT-DATAI_2_: 2248.46 ps
INPUT-DATAI_1_: 2248.46 ps
INPUT-DATAI_0_: 2248.46 ps
INPUT-MEMORYFETCH_REG_SCAN_IN: 2410.79 ps
INPUT-NA_N: 2336.95 ps
INPUT-BS16_N: 2378.15 ps
INPUT-READY_N: 1588.94 ps
INPUT-HOLD: 2276.97 ps
INPUT-BE_N_REG_3__SCAN_IN: 2403.86 ps
INPUT-BE_N_REG_2__SCAN_IN: 2403.86 ps
INPUT-BE_N_REG_1__SCAN_IN: 2403.86 ps
INPUT-BE_N_REG_0__SCAN_IN: 2403.86 ps
INPUT-ADDRESS_REG_29__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_28__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_27__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_26__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_25__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_24__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_23__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_22__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_21__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_20__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_19__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_18__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_17__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_16__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_15__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_14__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_13__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_12__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_11__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_10__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_9__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_8__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_7__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_6__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_5__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_4__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_3__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_2__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_1__SCAN_IN: 2384.75 ps
INPUT-ADDRESS_REG_0__SCAN_IN: 2384.75 ps
INPUT-STATE_REG_2__SCAN_IN: 1009.88 ps
INPUT-STATE_REG_1__SCAN_IN: 1025.1 ps
INPUT-STATE_REG_0__SCAN_IN: 1555.38 ps
INPUT-DATAWIDTH_REG_0__SCAN_IN: 2185.53 ps
INPUT-DATAWIDTH_REG_1__SCAN_IN: 2185.53 ps
INPUT-DATAWIDTH_REG_2__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_3__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_4__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_5__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_6__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_7__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_8__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_9__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_10__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_11__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_12__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_13__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_14__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_15__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_16__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_17__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_18__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_19__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_20__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_21__SCAN_IN: 2127.83 ps
INPUT-DATAWIDTH_REG_22__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_23__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_24__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_25__SCAN_IN: 2179.47 ps
INPUT-DATAWIDTH_REG_26__SCAN_IN: 2148.36 ps
INPUT-DATAWIDTH_REG_27__SCAN_IN: 2148.36 ps
INPUT-DATAWIDTH_REG_28__SCAN_IN: 2148.36 ps
INPUT-DATAWIDTH_REG_29__SCAN_IN: 2148.36 ps
INPUT-DATAWIDTH_REG_30__SCAN_IN: 2188.51 ps
INPUT-DATAWIDTH_REG_31__SCAN_IN: 2188.51 ps
INPUT-STATE2_REG_3__SCAN_IN: 1098.5 ps
INPUT-STATE2_REG_2__SCAN_IN: 1187.24 ps
INPUT-STATE2_REG_1__SCAN_IN: 1084.46 ps
INPUT-STATE2_REG_0__SCAN_IN: 1027.85 ps
INPUT-INSTQUEUE_REG_15__7__SCAN_IN: 624.51 ps
INPUT-INSTQUEUE_REG_15__6__SCAN_IN: 675.951 ps
INPUT-INSTQUEUE_REG_15__5__SCAN_IN: 602.085 ps
INPUT-INSTQUEUE_REG_15__4__SCAN_IN: 644.476 ps
INPUT-INSTQUEUE_REG_15__3__SCAN_IN: 468.353 ps
INPUT-INSTQUEUE_REG_15__2__SCAN_IN: 629.023 ps
INPUT-INSTQUEUE_REG_15__1__SCAN_IN: 456.893 ps
INPUT-INSTQUEUE_REG_15__0__SCAN_IN: 654.476 ps
INPUT-INSTQUEUE_REG_14__7__SCAN_IN: 623.298 ps
INPUT-INSTQUEUE_REG_14__6__SCAN_IN: 673.741 ps
INPUT-INSTQUEUE_REG_14__5__SCAN_IN: 600.394 ps
INPUT-INSTQUEUE_REG_14__4__SCAN_IN: 642.249 ps
INPUT-INSTQUEUE_REG_14__3__SCAN_IN: 465.209 ps
INPUT-INSTQUEUE_REG_14__2__SCAN_IN: 627.334 ps
INPUT-INSTQUEUE_REG_14__1__SCAN_IN: 454.612 ps
INPUT-INSTQUEUE_REG_14__0__SCAN_IN: 652.197 ps
INPUT-INSTQUEUE_REG_13__7__SCAN_IN: 624.14 ps
INPUT-INSTQUEUE_REG_13__6__SCAN_IN: 665.871 ps
INPUT-INSTQUEUE_REG_13__5__SCAN_IN: 600.718 ps
INPUT-INSTQUEUE_REG_13__4__SCAN_IN: 643.109 ps
INPUT-INSTQUEUE_REG_13__3__SCAN_IN: 466.051 ps
INPUT-INSTQUEUE_REG_13__2__SCAN_IN: 627.655 ps
INPUT-INSTQUEUE_REG_13__1__SCAN_IN: 455.525 ps
INPUT-INSTQUEUE_REG_13__0__SCAN_IN: 653.109 ps
INPUT-INSTQUEUE_REG_12__7__SCAN_IN: 623.298 ps
INPUT-INSTQUEUE_REG_12__6__SCAN_IN: 673.741 ps
INPUT-INSTQUEUE_REG_12__5__SCAN_IN: 600.395 ps
INPUT-INSTQUEUE_REG_12__4__SCAN_IN: 642.249 ps
INPUT-INSTQUEUE_REG_12__3__SCAN_IN: 466.108 ps
INPUT-INSTQUEUE_REG_12__2__SCAN_IN: 627.334 ps
INPUT-INSTQUEUE_REG_12__1__SCAN_IN: 454.612 ps
INPUT-INSTQUEUE_REG_12__0__SCAN_IN: 652.197 ps
INPUT-INSTQUEUE_REG_11__7__SCAN_IN: 625.071 ps
INPUT-INSTQUEUE_REG_11__6__SCAN_IN: 675.511 ps
INPUT-INSTQUEUE_REG_11__5__SCAN_IN: 579.808 ps
INPUT-INSTQUEUE_REG_11__4__SCAN_IN: 621.141 ps
INPUT-INSTQUEUE_REG_11__3__SCAN_IN: 466.979 ps
INPUT-INSTQUEUE_REG_11__2__SCAN_IN: 629.104 ps
INPUT-INSTQUEUE_REG_11__1__SCAN_IN: 456.382 ps
INPUT-INSTQUEUE_REG_11__0__SCAN_IN: 653.967 ps
INPUT-INSTQUEUE_REG_10__7__SCAN_IN: 625.072 ps
INPUT-INSTQUEUE_REG_10__6__SCAN_IN: 675.512 ps
INPUT-INSTQUEUE_REG_10__5__SCAN_IN: 602.166 ps
INPUT-INSTQUEUE_REG_10__4__SCAN_IN: 644.02 ps
INPUT-INSTQUEUE_REG_10__3__SCAN_IN: 445.751 ps
INPUT-INSTQUEUE_REG_10__2__SCAN_IN: 606.942 ps
INPUT-INSTQUEUE_REG_10__1__SCAN_IN: 456.383 ps
INPUT-INSTQUEUE_REG_10__0__SCAN_IN: 653.968 ps
INPUT-INSTQUEUE_REG_9__7__SCAN_IN: 623.34 ps
INPUT-INSTQUEUE_REG_9__6__SCAN_IN: 673.762 ps
INPUT-INSTQUEUE_REG_9__5__SCAN_IN: 600.394 ps
